userId,user_n_ratings,user_avg_rating
1,70,3.8142858
2,184,3.6304348
3,428,3.7464952
5,101,3.7524753
6,26,4.1538463
7,25,3.64
8,155,3.612903
9,178,3.8651686
10,53,3.45283
11,24,3.1458333
12,736,3.2961957
13,412,3.5594661
15,70,4.2214284
16,24,4.4791665
18,187,3.3716578
19,448,3.4162946
20,78,4.0897436
21,103,4.23301
22,22,4.318182
23,371,4.0619946
24,25,4.02
25,87,3.5287356
26,39,3.5512822
27,60,3.8666666
28,49,4.6938777
29,34,3.3676472
31,399,2.4310777
32,33,3.7575758
34,32,3.234375
36,108,3.5462964
37,64,4.5
38,249,3.3574297
39,29,3.913793
40,86,4.273256
41,199,3.5276382
42,22,3.8181818
43,420,3.5261905
45,44,3.7954545
46,160,3.796875
47,70,3.5857143
48,25,4.08
49,25,4.2
50,81,4.2222223
52,29,3.689655
53,27,4.6296296
54,27,3.8148148
55,50,3.92
56,30,3.7166667
57,355,3.8267605
58,104,4.423077
59,362,3.3895028
60,50,3.56
61,314,3.7070065
62,205,4.012195
64,53,4.1603775
66,79,3.5949366
67,126,3.1825397
69,149,3.9463086
70,196,3.3265307
72,813,3.3321033
73,39,3.5641026
74,22,3.2272727
76,179,4.02514
77,45,3.1111112
79,22,3.5454545
80,517,2.5183752
81,23,2.826087
82,169,3.4763315
83,28,3.75
85,68,3.5441177
86,148,3.9662163
88,21,4.095238
89,188,3.4175532
90,33,3.8484848
91,147,3.6156464
92,88,4.130682
94,53,3.6037736
96,55,4.2181816
97,67,3.9402986
98,145,3.9
100,61,3.5081968
101,86,3.5697675
102,155,4.1064515
103,32,3.6875
105,31,3.2580645
106,36,4.0277777
107,271,3.5184503
110,48,4.28125
111,23,4.4130435
112,133,3.0225563
113,11,3.4545455
115,29,4.137931
116,52,3.75
117,53,4.3584905
118,37,3.1891892
119,124,3.2096775
120,640,4.2
121,84,3.25
122,57,2.9824562
123,128,3.1015625
124,56,3.4285715
125,245,3.5897958
127,58,4.327586
129,20,4.15
130,71,3.3802817
131,62,4.024194
132,257,3.392996
133,78,3.3461537
134,67,3.4477613
135,32,4.4375
136,58,3.5172415
137,69,3.4927535
138,43,3.4767442
139,146,3.4863014
140,21,3.7142856
141,86,3.6162791
143,35,3.6857142
144,100,3.44
145,49,1.4591837
147,199,3.5276382
148,132,4.128788
149,39,3.9102564
150,34,4.0882354
151,70,3.9642856
152,91,3.2637362
154,60,2.95
155,279,3.7222223
156,61,4.0655737
157,25,2.92
158,78,4.025641
159,230,3.923913
160,96,3.6927083
161,87,3.2356322
162,101,3.4059405
163,52,3.6538463
164,148,3.8445945
165,65,3.876923
166,611,3.6677577
167,122,3.8770492
168,32,3.40625
169,238,3.5210085
170,20,3.575
171,671,4.219821
172,138,3.7753623
173,21,4.5238094
175,576,3.3072917
176,44,4.1363635
177,187,2.802139
178,81,3.7160494
179,72,3.8888888
180,25,4.14
182,20,3.15
183,42,3.7619047
184,74,3.391892
185,125,4.164
186,107,3.953271
187,1380,3.873913
188,139,2.9856114
189,216,3.6620371
190,135,3.8888888
192,25,3.9
193,75,3.7666667
194,21,2.547619
196,114,4.0745616
197,83,3.5120482
198,52,4.2884617
199,85,4.0
200,20,4.3
201,302,3.642384
202,48,3.1041667
203,44,3.6818182
204,117,3.534188
205,26,3.5769231
206,115,3.6434782
207,176,3.6051137
208,135,4.266667
